"Story","Title","Result","Date","Stability","Duration (s)"
"Create new hotel booking tests","Create new booking from april27th to april30th with total price of2389 without paying deposit","SUCCESS","2019-08-27T23:36:26.361+08:00[Asia/Kuala_Lumpur]","0.0","4.25"
"Verify hotel booking tests","Verify booking from april27th to april30th with total price of2389 without paying deposit","SUCCESS","2019-08-27T23:36:31.37+08:00[Asia/Kuala_Lumpur]","0.0","1.49"
